Nu14,,,,,,,,,,,,,,,,,
Nu14,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu14,Nu14,,Linear,1/X,Ignore,Y = -5.42601+17688.4*X   R^2 = 0.9994,,,,,,,,,,,
Nu14,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,1767731,NA,NA,100.000,99.938,0%,1.5%,,1,,3.66,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,1796212,NA,NA,100.000,101.548,2%,1.5%,Response High,1,,3.67,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,1785629,NA,NA,100.000,100.950,1%,1.5%,Response High,1,,3.69,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,1779542,NA,NA,100.000,100.606,1%,1.5%,Response High,1,,3.71,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,1725262,NA,NA,100.000,97.537,-2%,1.5%,,1,,3.69,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,1731990,NA,NA,100.000,97.917,-2%,1.5%,,1,,3.70,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,1740172,NA,NA,100.000,98.380,-2%,1.5%,,1,,3.75,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,1757177,NA,NA,100.000,99.341,-1%,1.5%,,1,,3.75,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,1733100,NA,NA,100.000,97.980,-2%,1.5%,,1,,3.73,CalA,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,934973,NA,NA,50.000,52.858,6%,2.7%,,2,,3.67,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,918454,NA,NA,50.000,51.925,4%,2.7%,,2,,3.66,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,922001,NA,NA,50.000,52.125,4%,2.7%,,2,,3.66,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,876672,NA,NA,50.000,49.562,-1%,2.7%,,2,,3.70,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,884825,NA,NA,50.000,50.023,0%,2.7%,,2,,3.70,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,879968,NA,NA,50.000,49.749,-1%,2.7%,,2,,3.71,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,884476,NA,NA,50.000,50.004,0%,2.7%,,2,,3.73,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,873885,NA,NA,50.000,49.405,-1%,2.7%,,2,,3.73,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,872301,NA,NA,50.000,49.315,-1%,2.7%,,2,,3.73,CalB,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,179775,NA,NA,10.000,10.164,2%,2.9%,,3,,3.69,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,181858,NA,NA,10.000,10.282,3%,2.9%,,3,,3.72,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,186443,NA,NA,10.000,10.541,5%,2.9%,,3,,3.69,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,176083,NA,NA,10.000,9.955,0%,2.9%,,3,,3.67,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,174998,NA,NA,10.000,9.894,-1%,2.9%,,3,,3.69,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,173200,NA,NA,10.000,9.792,-2%,2.9%,,3,,3.70,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,170921,NA,NA,10.000,9.663,-3%,2.9%,,3,,3.72,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,171279,NA,NA,10.000,9.683,-3%,2.9%,,3,,3.73,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,177290,NA,NA,10.000,10.023,0%,2.9%,,3,,3.74,CalC,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,21010,NA,NA,1.000,1.188,19%,4.9%,,4,,3.71,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,21139,NA,NA,1.000,1.195,20%,4.9%,,4,,3.70,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,21617,NA,NA,1.000,1.222,22%,4.9%,,4,,3.71,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,19736,NA,NA,1.000,1.116,12%,4.9%,,4,,3.69,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,19393,NA,NA,1.000,1.097,10%,4.9%,,4,,3.68,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,20499,NA,NA,1.000,1.159,16%,4.9%,,4,,3.70,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,18707,NA,NA,1.000,1.058,6%,4.9%,,4,,3.72,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,19282,NA,NA,1.000,1.090,9%,4.9%,,4,,3.73,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,19858,NA,NA,1.000,1.123,12%,4.9%,,4,,3.73,CalD,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,8018,NA,NA,0.500,0.454,-9%,4.6%,,5,,3.69,CalE,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,8477,NA,NA,0.500,0.480,-4%,4.6%,,5,,3.71,CalE,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,8159,NA,NA,0.500,0.462,-8%,4.6%,,5,,3.72,CalE,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,7300,NA,NA,0.500,0.413,-17%,4.6%,,5,,3.71,CalE,
Nu14,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,8531,NA,NA,0.500,0.483,-3%,4.6%,,5,,3.72,CalE,
