Nu15,,,,,,,,,,,,,,,,,
Nu15,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu15,Nu15,,Linear,1/X,Ignore,Y = 39.5406+6907.62*X   R^2 = 0.9994,,,,,,,,,,,
Nu15,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,709259,NA,NA,100.000,102.672,3%,1.5%,Response High,1,,1.63,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,682729,NA,NA,100.000,98.831,-1%,1.5%,,1,,1.63,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,692965,NA,NA,100.000,100.313,0%,1.5%,Response High,1,,1.64,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,683816,NA,NA,100.000,98.989,-1%,1.5%,,1,,1.64,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,677969,NA,NA,100.000,98.142,-2%,1.5%,,1,,1.64,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,677476,NA,NA,100.000,98.071,-2%,1.5%,,1,,1.64,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,684820,NA,NA,100.000,99.134,-1%,1.5%,,1,,1.64,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,684528,NA,NA,100.000,99.092,-1%,1.5%,,1,,1.64,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,678394,NA,NA,100.000,98.204,-2%,1.5%,,1,,1.64,CalA,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,360625,NA,NA,50.000,52.201,4%,2.1%,,2,,1.64,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,363758,NA,NA,50.000,52.655,5%,2.1%,,2,,1.63,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,354156,NA,NA,50.000,51.265,3%,2.1%,,2,,1.63,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,349962,NA,NA,50.000,50.658,1%,2.1%,,2,,1.64,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,343037,NA,NA,50.000,49.655,-1%,2.1%,,2,,1.64,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,346682,NA,NA,50.000,50.183,0%,2.1%,,2,,1.64,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,344106,NA,NA,50.000,49.810,0%,2.1%,,2,,1.64,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,346859,NA,NA,50.000,50.208,0%,2.1%,,2,,1.64,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,348343,NA,NA,50.000,50.423,1%,2.1%,,2,,1.64,CalB,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,68745,NA,NA,10.000,9.946,-1%,1.5%,,3,,1.64,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,68201,NA,NA,10.000,9.868,-1%,1.5%,,3,,1.64,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,68856,NA,NA,10.000,9.962,0%,1.5%,,3,,1.64,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,67093,NA,NA,10.000,9.707,-3%,1.5%,,3,,1.63,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,67550,NA,NA,10.000,9.773,-2%,1.5%,,3,,1.64,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,66835,NA,NA,10.000,9.670,-3%,1.5%,,3,,1.63,CalC,
