Uri,,,,,,,,,,,,,,,,,
Uri,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Uri,Uri,,Linear,1/X,Ignore,Y = 292.135+1513.01*X   R^2 = 0.9982,,,,,,,,,,,
Uri,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,150108,NA,NA,100.000,99.018,-1%,1.2%,,1,,2.33,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,147581,NA,NA,100.000,97.348,-3%,1.2%,,1,,2.34,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,151362,NA,NA,100.000,99.847,0%,1.2%,,1,,2.36,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,147292,NA,NA,100.000,97.157,-3%,1.2%,,1,,2.37,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,149561,NA,NA,100.000,98.657,-1%,1.2%,,1,,2.35,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,149341,NA,NA,100.000,98.512,-1%,1.2%,,1,,2.36,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,146689,NA,NA,100.000,96.758,-3%,1.2%,,1,,2.38,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,150917,NA,NA,100.000,99.553,0%,1.2%,,1,,2.38,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,146492,NA,NA,100.000,96.629,-3%,1.2%,,1,,2.39,CalA,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,80645,NA,NA,50.000,53.108,6%,2.6%,,2,,2.34,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,79951,NA,NA,50.000,52.649,5%,2.6%,,2,,2.34,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,79883,NA,NA,50.000,52.604,5%,2.6%,,2,,2.33,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,76833,NA,NA,50.000,50.589,1%,2.6%,,2,,2.35,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,76096,NA,NA,50.000,50.101,0%,2.6%,,2,,2.37,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,77095,NA,NA,50.000,50.762,2%,2.6%,,2,,2.37,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,79456,NA,NA,50.000,52.322,5%,2.6%,,2,,2.38,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,76155,NA,NA,50.000,50.140,0%,2.6%,,2,,2.38,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,75090,NA,NA,50.000,49.436,-1%,2.6%,,2,,2.38,CalB,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,16262,NA,NA,10.000,10.555,6%,3.4%,,3,,2.36,CalC,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,16923,NA,NA,10.000,10.992,10%,3.4%,,3,,2.35,CalC,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,16295,NA,NA,10.000,10.577,6%,3.4%,,3,,2.35,CalC,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,16316,NA,NA,10.000,10.591,6%,3.4%,,3,,2.35,CalC,
